ticker,group
PNW,sp500_2021_start_panel
POOL,sp500_2021_start_panel
PPG,sp500_2021_start_panel
PPL,sp500_2021_start_panel
PRGO,sp500_2021_start_panel
PRU,sp500_2021_start_panel
PSA,sp500_2021_start_panel
PSX,sp500_2021_start_panel
PVH,sp500_2021_start_panel
PWR,sp500_2021_start_panel
PXD,sp500_2021_start_panel
PYPL,sp500_2021_start_panel
QCOM,sp500_2021_start_panel
QRVO,sp500_2021_start_panel
RCL,sp500_2021_start_panel
REG,sp500_2021_start_panel
REGN,sp500_2021_start_panel
RF,sp500_2021_start_panel
RHI,sp500_2021_start_panel
RJF,sp500_2021_start_panel
RL,sp500_2021_start_panel
RMD,sp500_2021_start_panel
ROK,sp500_2021_start_panel
ROL,sp500_2021_start_panel
ROP,sp500_2021_start_panel
ROST,sp500_2021_start_panel
RSG,sp500_2021_start_panel
RTX,sp500_2021_start_panel
RVTY,sp500_2021_start_panel
SBAC,sp500_2021_start_panel
SBUX,sp500_2021_start_panel
SCHW,sp500_2021_start_panel
SEE,sp500_2021_start_panel
SHW,sp500_2021_start_panel
SIVB,sp500_2021_start_panel
SJM,sp500_2021_start_panel
SLB,sp500_2021_start_panel
SLG,sp500_2021_start_panel
SNA,sp500_2021_start_panel
SNPS,sp500_2021_start_panel
SO,sp500_2021_start_panel
SPG,sp500_2021_start_panel
SPGI,sp500_2021_start_panel
SRE,sp500_2021_start_panel
STE,sp500_2021_start_panel
STT,sp500_2021_start_panel
STX,sp500_2021_start_panel
STZ,sp500_2021_start_panel
SWK,sp500_2021_start_panel
SWKS,sp500_2021_start_panel
SYF,sp500_2021_start_panel
SYK,sp500_2021_start_panel
SYY,sp500_2021_start_panel
T,sp500_2021_start_panel
TAP,sp500_2021_start_panel
TDG,sp500_2021_start_panel
TDY,sp500_2021_start_panel
TEL,sp500_2021_start_panel
TER,sp500_2021_start_panel
TFC,sp500_2021_start_panel
TFX,sp500_2021_start_panel
TGT,sp500_2021_start_panel
TIF,sp500_2021_start_panel
TJX,sp500_2021_start_panel
TMO,sp500_2021_start_panel
TMUS,sp500_2021_start_panel
TPR,sp500_2021_start_panel
TROW,sp500_2021_start_panel
TRV,sp500_2021_start_panel
TSCO,sp500_2021_start_panel
TSLA,sp500_2021_start_panel
TSN,sp500_2021_start_panel
TT,sp500_2021_start_panel
TTWO,sp500_2021_start_panel
TWTR,sp500_2021_start_panel
TXN,sp500_2021_start_panel
TXT,sp500_2021_start_panel
TYL,sp500_2021_start_panel
UA,sp500_2021_start_panel
UAA,sp500_2021_start_panel
UAL,sp500_2021_start_panel
UDR,sp500_2021_start_panel
UHS,sp500_2021_start_panel
ULTA,sp500_2021_start_panel
UNH,sp500_2021_start_panel
UNM,sp500_2021_start_panel
UNP,sp500_2021_start_panel
UPS,sp500_2021_start_panel
URI,sp500_2021_start_panel
USB,sp500_2021_start_panel
V,sp500_2021_start_panel
VAR,sp500_2021_start_panel
VFC,sp500_2021_start_panel
VLO,sp500_2021_start_panel
VMC,sp500_2021_start_panel
VMRK,sp500_2021_start_panel
VNO,sp500_2021_start_panel
VNT,sp500_2021_start_panel
VRSK,sp500_2021_start_panel
VRSN,sp500_2021_start_panel
VRTX,sp500_2021_start_panel
VTR,sp500_2021_start_panel
VTRS,sp500_2021_start_panel
VZ,sp500_2021_start_panel
WAB,sp500_2021_start_panel
WAT,sp500_2021_start_panel
WBA,sp500_2021_start_panel
WDC,sp500_2021_start_panel
WEC,sp500_2021_start_panel
WELL,sp500_2021_start_panel
WFC,sp500_2021_start_panel
WHR,sp500_2021_start_panel
WLTW,sp500_2021_start_panel
WM,sp500_2021_start_panel
WMB,sp500_2021_start_panel
WMT,sp500_2021_start_panel
WRB,sp500_2021_start_panel
WST,sp500_2021_start_panel
WU,sp500_2021_start_panel
WY,sp500_2021_start_panel
WYNN,sp500_2021_start_panel
XEL,sp500_2021_start_panel
XLNX,sp500_2021_start_panel
XOM,sp500_2021_start_panel
XRAY,sp500_2021_start_panel
XRX,sp500_2021_start_panel
XYL,sp500_2021_start_panel
YUM,sp500_2021_start_panel
ZBH,sp500_2021_start_panel
ZBRA,sp500_2021_start_panel
